product_id|product_name|category|price
P10088|Through|Performance|50.0
P10089|Memory|Approach|28.32
P10090|Become|Difference|59.28
P10091|Stand|Two|315.59
P10092|Travel|Strategy|397.08
P10093|End|Mention|213.97
P10094|Class|Price|36.45
P10095|Adult|Improve|193.9
P10096|Although|State|498.08
P10097|Long|Word|266.91
P10098|Everybody|Can|485.68
P10099|Hair|Method|431.09
P10100|Pm|Field|10.68
P10101|Close|First|361.76
P10102|Never|Blood|342.45
P10103|Accept|Public|270.8
P10104|Trade|Buy|137.08
P10105|Office|Include|322.28
P10106|Use|Consider|60.22
P10107|Tree|Authority|220.21
P10108|Part|True|229.59
P10109|Life|Skill|477.14
P10110|Probably|International|438.55
P10111|Notice|Plant|135.38
P10112|Economy|Walk|252.79
P10113|Congress|Rather|93.43
P10114|Join|Any|456.75
P10115|Writer|Game|435.91
P10116|Fund|Commercial|152.73
P10117|Poor|State|321.28
P10118|Involve|Unit|306.44
P10119|Religious|Detail|80.66
P10120|Husband|Game|382.44
P10121|Song|Knowledge|271.99
P10122|Green|Through|390.42
P10123|Reduce|From|267.53
P10124|End|Lose|5.28
P10125|According|Mind|165.46
P10126|Pull|Where|14.64
P10127|Process|Purpose|464.9
P10128|Onto|Leave|439.97
P10129|Let|Pattern|416.67
P10130|Two|Window|157.22
P10131|Price|Region|33.67
P10132|Race|Space|439.61
P10133|Painting|System|473.74
P10134|Radio|Maintain|47.4
P10135|Political|Seven|245.57
P10136|Six|Maybe|39.26
P10137|Trade|Rest|381.5
P10138|Natural|Most|384.09
P10139|Seven|Total|68.55
P10140|Some|Civil|240.26
P10141|Study|And|277.15
P10142|Quality|Suffer|136.2
P10143|Under|Laugh|436.85
P10144|Step|Morning|214.45
P10145|Teacher|Because|109.84
P10146|Main|Memory|271.95
P10147|Late|Life|366.32
P10148|Technology|Thus|104.57
P10149|Alone|Director|159.3
P10150|Finally|Five|497.6
P10151|Star|Class|326.69
P10152|Easy|Say|221.86
P10153|Smile|Beyond|261.2
P10154|Spend|Meeting|64.9
P10155|Somebody|Daughter|116.23
P10156|Factor|Foreign|172.35
P10157|West|Part|296.21
P10158|Range|Character|118.91
P10159|Huge|Senior|114.01
P10160|Because|Worker|40.14
P10161|Road|Raise|317.4
P10162|Method|Picture|118.33
P10163|Statement|Might|453.18
P10164|By|Painting|430.52
P10165|System|Western|40.07
P10166|Get|Gas|122.81
P10167|Administration|Check|336.14
P10168|Onto|Close|111.05
P10169|Finish|Other|70.49
P10170|Car|Plan|468.08
P10171|Account|Or|287.67
P10172|Away|Not|238.97
P10173|Huge|North|393.39
P10174|Should|Cup|404.71
P10175|Visit|Peace|99.25
P10176|Them|Behavior|52.98
P10177|Task|Pay|218.37
P10178|Century|Well|214.67
P10179|Owner|Western|236.18
P10180|Training|Upon|365.89
P10181|At|Sport|338.32
P10182|Such|Recent|492.16
P10183|Affect|Listen|53.72
P10184|Theory|Expect|204.3
P10185|Sea|Wide|172.95
P10186|Professor|Source|431.53
P10187|Help|Cup|128.08
P10188|President|Want|99.15
P10189|Executive|Most|227.06
P10190|Course|Interest|213.83
P10191|Stand|Newspaper|142.88
P10192|Dog|Now|128.65
P10193|Tend|Act|462.02
P10194|Dinner|Name|224.35
P10195|Final|Kid|431.37
P10196|Third|Show|277.41
P10197|Whole|Picture|30.04
P10198|Whatever|Reality|499.64
P10199|Maybe|Note|418.83
P10200|Them|Nor|484.65
P10201|Economic|Personal|463.55
P10202|Identify|Such|425.1
P10203|Even|Pm|87.32
P10204|White|Benefit|245.39
P10205|Sometimes|Stop|110.8
P10206|Table|Wife|203.51
P10207|West|Remember|34.02
P10208|Look|Vote|192.59
P10209|Author|Appear|492.73
P10210|Develop|Summer|136.28
P10211|Five|Travel|393.11
P10212|Last|Someone|230.23
P10213|Still|Baby|214.39
P10214|Down|New|478.87
P10215|Onto|Both|497.73
P10216|Democrat|Type|280.11
P10217|Challenge|And|360.61
P10218|Operation|At|81.62
P10219|Big|Material|151.87
P10220|Into|Production|484.51
P10221|Necessary|Admit|291.69
P10222|Threat|Son|273.39
P10223|Animal|Natural|375.25
P10224|Series|My|33.3
P10225|Hold|Clearly|294.17
P10226|Color|Tell|253.91
P10227|Author|Step|427.1
P10228|Letter|Whether|82.93
P10229|World|Simply|480.59
P10230|Professor|Wide|44.66
P10231|Whole|Magazine|96.98
P10232|Site|Power|299.54
P10233|Personal|Type|339.23
P10234|Represent|Certainly|121.43
P10235|Provide|Leg|64.34
P10236|Determine|Wide|445.69
P10237|Across|Rate|126.88
P10238|Always|Law|299.29
P10239|Season|Investment|311.59
P10240|Among|Unit|212.52
P10241|Course|Popular|293.92
P10242|Take|Gas|263.78
P10243|Public|Behind|467.68
P10244|Notice|Mother|106.11
P10245|Go|Big|359.51
P10246|Before|Music|123.15
P10247|Public|Interest|200.91
P10248|Reach|Under|337.49
P10249|Cultural|Make|153.5
P10250|Example|National|161.51
P10251|Mrs|Group|377.17
P10252|North|Force|40.91
P10253|Federal|Little|231.85
P10254|Large|Remain|499.23
P10255|Present|Maybe|498.07
P10256|Father|Power|41.26
P10257|Move|Discover|110.51
P10258|Cover|Business|136.27
P10259|Little|Seven|466.96
P10260|Support|Face|441.03
P10261|Finally|Structure|440.24
P10262|Suffer|She|187.92
P10263|Receive|Heart|83.08
P10264|This|Doctor|417.7
P10265|Learn|Industry|353.25
P10266|Paper|Key|307.78
P10267|Resource|Dream|493.68
P10268|Push|None|328.72
P10269|First|Activity|8.87
P10270|For|Play|409.47
P10271|Response|Season|153.19
P10272|Region|Need|333.38
P10273|Level|Difficult|469.77
P10274|Me|Natural|71.47
P10275|Increase|Deal|62.14
P10276|Hand|Budget|57.98
P10277|Decision|Firm|278.85
P10278|Before|Hot|139.81
P10279|Relate|Each|304.39
P10280|With|Defense|360.22
P10281|Consumer|Matter|105.78
P10282|Green|Stage|318.95
P10283|Others|Actually|135.67
P10284|Trade|Include|246.82
P10285|Language|Serious|453.14
P10286|Perform|Field|423.82
P10287|Only|Surface|50.69
P10288|Wide|Important|214.67
P10289|Wind|Station|141.96
P10290|Quickly|Beat|6.76
P10291|Arm|College|386.7
P10292|Project|Technology|320.37
P10293|Model|Partner|134.67
P10294|Teacher|Program|371.91
P10295|Official|Accept|278.08
P10296|Note|Sister|216.71
P10297|Budget|National|9.79
P10298|Resource|Bit|42.25
P10299|Product|Statement|442.14
P10300|Inside|Blue|452.44
P10301|Stuff|Air|275.07
P10302|Final|Hospital|418.12
P10303|Mother|Step|293.34
P10304|Six|Whose|78.31
P10305|Rich|Section|68.09
P10306|Pull|Behind|157.59
P10307|Toward|End|450.0
P10308|Pm|Produce|399.08
P10309|Season|Man|431.05
P10310|Can|Surface|449.97
P10311|Enough|Force|108.99
P10312|Anyone|Treat|128.52
P10313|Specific|Again|55.88
P10314|Bank|Our|391.16
P10315|Budget|Show|442.65
P10316|Thank|Live|206.16
P10317|People|Reason|312.23
P10318|Keep|Recent|81.5
P10319|Among|Likely|465.29
P10320|Catch|Financial|432.98
P10321|Between|Simply|488.22
P10322|Just|Maybe|406.33
P10323|Someone|Stock|441.3
P10324|Teach|Entire|17.27
P10325|Everyone|Understand|369.6
P10326|Film|Two|169.43
P10327|Government|Part|465.75
P10328|Bar|Send|402.11
P10329|Must|Society|432.71
P10330|Term|Movement|406.32
P10331|Century|Chance|137.07
P10332|Including|Not|394.75
P10333|Behind|One|58.51
P10334|Record|Right|436.72
P10335|Cause|Bad|430.0
P10336|Lead|Apply|115.1
P10337|Some|Front|409.21
P10338|However|Community|232.85
P10339|While|Really|156.07
P10340|Special|Article|398.7
P10341|Lose|Claim|117.66
P10342|Himself|House|16.71
P10343|None|Usually|100.6
P10344|Place|Own|167.49
P10345|Moment|Thing|432.85
P10346|Black|Respond|483.61
P10347|Structure|Outside|143.17
P10348|East|Benefit|322.53
P10349|Thousand|Account|202.84
P10350|Market|Red|490.67
P10351|Tv|Discussion|270.43
P10352|Real|Brother|469.92
P10353|Until|He|62.09
P10354|Foot|Religious|485.35
P10355|Guess|Develop|93.39
P10356|Discussion|Today|481.45
P10357|Billion|While|136.41
P10358|Former|Into|58.66
P10359|Bill|Business|220.11
P10360|Nice|Reality|365.63
P10361|Free|Next|160.27
P10362|Official|Road|305.07
P10363|Often|Everybody|258.15
P10364|Democrat|Determine|195.67
P10365|Very|Manager|290.41
P10366|Garden|Finally|131.09
P10367|A|Company|355.85
P10368|Seem|Rather|5.84
P10369|Money|Structure|463.16
P10370|Measure|Design|271.53
P10371|Responsibility|Field|361.12
P10372|Pull|Future|372.27
P10373|Police|Available|336.96
P10374|Tax|Raise|185.29
P10375|Point|Heart|39.64
P10376|Main|Mind|333.8
P10377|What|Person|168.45
P10378|Finally|Ability|160.39
P10379|Remain|Believe|424.77
P10380|Treat|Material|361.28
P10381|Quickly|Country|153.66
P10382|Suggest|Exactly|158.1
P10383|Action|Teach|207.15
P10384|Difficult|Job|204.19
P10385|Continue|Hair|151.35
P10386|Happen|Too|68.01
P10387|Top|Yet|213.12
P10388|Century|Plant|470.48
P10389|Daughter|Speech|340.27
P10390|Every|Accept|451.89
P10391|You|Language|309.68
P10392|Wish|Spring|153.97
P10393|Skill|Possible|276.23
P10394|Prevent|Mrs|5.2
P10395|Majority|Kid|147.02
P10396|Treat|In|217.79
P10397|Million|Nature|292.09
P10398|Power|Set|329.08
P10399|With|He|235.17
P10400|Including|Response|223.87
P10401|Inside|Water|110.78
P10402|Business|Simply|239.23
P10403|Country|Former|451.08
P10404|Control|Professor|399.03
P10405|Response|Pm|89.0
P10406|Often|Pm|46.97
P10407|Fire|Turn|260.15
P10408|Body|Audience|318.31
P10409|Apply|Human|170.92
P10410|Officer|Gun|410.12
P10411|Spend|New|376.81
P10412|East|Run|338.03
P10413|Task|Affect|116.2
P10414|Style|Process|103.57
P10415|Live|Growth|17.09
P10416|Player|Production|126.2
P10417|Series|Help|240.19
P10418|And|Professional|425.62
P10419|Simple|Down|41.05
P10420|Likely|Step|210.15
P10421|Five|Idea|316.73
P10422|Candidate|Security|101.25
P10423|However|Hot|349.7
P10424|Parent|Box|249.72
P10425|Painting|Size|125.77
P10426|Government|Capital|329.75
P10427|Analysis|Impact|7.74
P10428|Expect|Small|376.73
P10429|Much|Try|386.17
P10430|Business|Senior|57.76
P10431|Modern|Upon|215.45
P10432|Game|Avoid|92.06
P10433|Pay|Show|479.19
P10434|None|Opportunity|261.39
P10435|Prepare|Eye|29.86
P10436|Song|Picture|128.35
P10437|Same|High|424.93
P10438|Try|Religious|230.95
P10439|Particular|After|401.7
P10440|Politics|Artist|335.45
P10441|Wait|Ok|494.01
P10442|Top|Develop|299.75
P10443|Modern|Eight|475.27
P10444|Letter|Always|446.26
P10445|Consumer|Cut|308.26
P10446|Discover|Name|361.04
P10447|Also|President|254.87
P10448|Standard|Movement|416.13
P10449|Democratic|Artist|276.2
P10450|Mouth|Product|449.12
P10451|Republican|Seven|373.11
P10452|Recognize|Authority|239.96
P10453|Word|Watch|133.3
P10454|Author|Product|127.38
P10455|On|Evening|320.64
P10456|Effort|Team|384.08
P10457|Item|Agent|263.04
P10458|Very|Police|315.24
P10459|Girl|Power|140.93
P10460|Miss|That|43.35
P10461|Address|Suffer|146.44
P10462|They|Animal|139.5
P10463|Color|Director|163.26
P10464|Option|Shoulder|272.38
P10465|Them|Situation|73.5
P10466|New|Couple|119.47
P10467|Set|Wind|348.51
P10468|Campaign|College|354.68
P10469|Standard|Financial|36.79
P10470|Bring|Adult|206.76
P10471|Bring|Once|273.59
P10472|Way|Stand|210.81
P10473|Add|Quite|107.38
P10474|Business|Strong|212.97
P10475|Lay|Drop|452.9
P10476|Decade|Song|294.12
P10477|Point|Especially|349.28
P10478|Yes|Medical|429.08
P10479|Major|Group|383.97
P10480|Follow|Keep|193.29
P10481|Part|Suffer|7.92
P10482|Face|List|179.12
P10483|Leg|Get|377.97
P10484|Real|Unit|427.46
P10485|Begin|Party|476.95
P10486|It|Generation|212.42
P10487|Doctor|Police|375.02
P10488|Physical|There|275.34
P10489|Seven|Head|303.61
P10490|Future|Certainly|114.17
P10491|Pass|Human|113.61
P10492|No|Edge|220.74
P10493|By|Sister|19.37
P10494|Republican|Avoid|171.38
P10495|Ability|Positive|341.18
P10496|Concern|Style|205.14
P10497|Keep|Window|86.7
P10498|Speech|Raise|236.36
P10499|Almost|Them|68.18
P10500|Wide|Down|313.02
P10501|Tree|Stop|18.35
P10502|Join|Letter|200.04
P10503|Mr|Charge|284.37
P10504|Maintain|Concern|18.42
P10505|Girl|Order|323.16
P10506|Right|Arrive|72.17
P10507|Government|Image|233.54
P10508|Rest|Important|29.89
P10509|Discover|Until|192.66
P10510|Time|Direction|109.77
P10511|Free|Effect|166.79
P10512|Economy|Particular|381.81
P10513|Couple|Moment|192.67
P10514|Win|True|377.24
P10515|Leave|Major|416.8
P10516|Democrat|Fund|129.87
P10517|In|Situation|45.54
P10518|Sort|Increase|14.59
P10519|Sister|Local|272.01
P10520|President|Despite|499.95
P10521|What|Become|178.23
P10522|Expect|Develop|326.82
P10523|Fill|Free|391.71
P10524|Company|Fly|327.62
P10525|Rise|Range|378.35
P10526|Heavy|Stop|475.06
P10527|Per|Return|103.68
P10528|Apply|Body|15.09
P10529|Such|There|80.43
P10530|Later|Start|67.48
P10531|Enough|Worker|336.38
P10532|Of|Fast|284.16
P10533|Town|Member|112.89
P10534|Cell|Future|351.24
P10535|Within|Represent|384.61
P10536|Note|Best|88.06
P10537|Need|Toward|305.59
P10538|Old|Stuff|375.22
P10539|Sport|From|61.69
P10540|Fly|Drug|410.55
P10541|Ever|Improve|482.54
P10542|Class|Beat|58.51
P10543|Ball|West|17.71
P10544|Science|Newspaper|159.42
P10545|Head|Get|340.29
P10546|Not|Population|479.3
P10547|Strong|Would|201.34
P10548|Part|Whether|358.93
P10549|Small|Oil|42.62
P10550|Blood|Environmental|346.85
P10551|Huge|Picture|315.48
P10552|Strategy|Reveal|55.44
P10553|Language|Though|387.38
P10554|Assume|Practice|425.9
P10555|Guess|Push|302.2
P10556|Institution|Black|64.92
P10557|Week|Short|492.0
P10558|Building|Go|392.4
P10559|Herself|Three|176.87
P10560|Difference|Have|217.05
P10561|Teacher|Threat|188.43
P10562|Daughter|Speech|255.45
P10563|Security|As|173.91
P10564|Important|Develop|425.54
P10565|Partner|Simple|412.05
P10566|Act|More|57.24
P10567|Or|Surface|480.59
P10568|Figure|Real|319.61
P10569|Sister|International|415.21
P10570|Bring|Practice|355.12
P10571|Popular|People|220.57
P10572|In|Doctor|368.23
P10573|Drop|Relate|482.91
P10574|Law|Final|138.69
P10575|Us|Enter|405.06
P10576|Quality|Learn|271.4
P10577|Similar|Speak|244.33
P10578|Second|Air|220.61
P10579|Against|Campaign|366.86
P10580|Recent|Or|137.86
P10581|Require|Bill|426.6
P10582|Serve|Year|416.21
P10583|List|Central|47.9
P10584|Expect|Sport|441.41
P10585|Example|Painting|125.71
P10586|Before|Special|235.03
P10587|Cold|Heavy|307.11
P10588|Mind|Participant|192.6
P10589|Hot|Health|19.21
P10590|Decade|Capital|426.22
P10591|Theory|Week|95.01
P10592|Fear|Together|110.0
P10593|Game|Plant|399.93
P10594|Poor|Source|173.47
P10595|Some|Organization|440.76
P10596|But|Relate|352.09
P10597|Congress|Impact|141.75
P10598|Southern|Recently|10.02
P10599|Draw|Treatment|474.29
P10600|Perform|Daughter|47.38
P10601|Box|Action|361.44
P10602|Development|Serve|246.85
P10603|Reason|Key|380.29
P10604|We|Heart|346.85
P10605|Act|Food|324.72
P10606|Ahead|Arm|247.96
P10607|That|Smile|397.5
P10608|Very|Opportunity|51.06
P10609|Gun|Environmental|114.69
P10610|Enough|Commercial|347.43
P10611|Spend|Half|156.57
P10612|Say|Describe|292.87
P10613|Wind|Kind|239.26
P10614|Body|Necessary|267.81
P10615|Security|Charge|215.62
P10616|Also|Member|374.24
P10617|Say|Event|168.74
P10618|Resource|Dream|352.91
P10619|Network|Concern|139.1
P10620|Talk|Respond|129.44
P10621|Other|Purpose|64.72
P10622|Study|May|100.33
P10623|Full|Site|64.18
P10624|Compare|Compare|270.25
P10625|Company|Task|382.28
P10626|A|Radio|96.65
P10627|Bit|Positive|112.11
P10628|Plant|Form|244.68
P10629|Century|Their|363.67
P10630|Road|Central|488.42
P10631|Law|Need|264.7
P10632|Even|Knowledge|145.08
P10633|Say|Project|54.76
P10634|Subject|Set|101.09
P10635|Against|Go|117.6
P10636|Health|Close|93.82
P10637|Interesting|Join|12.0
P10638|Follow|Fund|269.4
P10639|Parent|Through|140.78
P10640|Late|Finish|487.28
P10641|Conference|Last|278.91
P10642|Simple|Sense|350.22
P10643|Through|Away|67.51
P10644|Us|Year|434.89
P10645|In|Treat|247.98
P10646|Treat|Wonder|437.0
P10647|Four|Else|289.16
P10648|Direction|Media|237.35
P10649|Anything|True|223.03
P10650|Food|Tell|96.26
P10651|Feel|Capital|30.43
P10652|Production|Medical|470.83
P10653|Protect|Ten|241.48
P10654|Free|Pattern|411.95
P10655|Choose|Letter|203.35
P10656|Process|General|41.67
P10657|Perform|Peace|316.58
P10658|Would|Development|31.54
P10659|Occur|Shake|78.85
P10660|Large|Possible|283.61
P10661|Space|Young|155.4
P10662|Offer|Benefit|496.99
P10663|Long|Security|63.63
P10664|Adult|Blue|383.4
P10665|We|Cost|305.13
P10666|Skin|Traditional|396.42
P10667|Week|Billion|116.72
P10668|Response|Necessary|263.67
P10669|Each|Go|228.0
P10670|Form|Remember|224.15
P10671|Fire|Work|430.78
P10672|Identify|Sea|495.07
P10673|Evidence|American|156.16
P10674|Land|Level|312.41
P10675|Have|Know|306.77
P10676|Decide|Very|371.34
P10677|Listen|Other|474.06
P10678|Herself|Stay|107.86
P10679|Man|Site|109.46
P10680|Management|Class|331.91
P10681|Article|While|82.74
P10682|Administration|Movement|91.04
P10683|Baby|State|42.16
P10684|Worker|Ability|6.32
P10685|Others|Read|228.0
P10686|Society|Coach|298.94
P10687|Know|Perhaps|149.17
P10688|Worry|Now|119.58
P10689|Man|Fall|354.94
P10690|Best|Someone|352.98
P10691|Girl|Five|229.75
P10692|Less|Office|345.26
P10693|Human|Herself|462.34
P10694|Example|Boy|394.97
P10695|Wife|Large|314.4
P10696|Student|Impact|332.29
P10697|Word|Food|467.17
P10698|Remain|Race|215.44
P10699|Our|Great|274.56
P10700|For|Here|325.58
P10701|Even|Garden|454.66
P10702|Successful|News|414.18
P10703|Health|Represent|40.35
P10704|Realize|Enter|87.13
P10705|Both|Have|157.27
P10706|Allow|Let|375.73
P10707|Yet|Table|286.76
P10708|Play|Baby|147.86
P10709|Big|Hour|66.56
P10710|Account|Threat|345.9
P10711|Election|Budget|351.37
P10712|Identify|Adult|471.62
P10713|Anything|Environmental|252.73
P10714|Now|Democrat|249.43
P10715|Government|Group|44.82
P10716|Few|Throw|24.73
P10717|College|Least|218.85
P10718|Since|Leg|164.55
P10719|Tree|Name|128.93
P10720|Road|Fly|50.21
P10721|Receive|Field|481.15
P10722|City|Hospital|418.8
P10723|For|Hit|289.72
P10724|After|Artist|475.64
P10725|Draw|Study|499.79
P10726|Town|Social|337.78
P10727|Face|Read|138.41
P10728|Realize|Score|24.91
P10729|Value|Provide|379.35
P10730|Light|Suffer|237.9
P10731|Simple|Next|327.5
P10732|Yard|Everybody|458.46
P10733|Someone|Particularly|94.84
P10734|Nothing|About|294.74
P10735|Last|Local|319.22
P10736|Paper|My|248.4
P10737|Could|Yourself|50.16
P10738|Attack|Enjoy|177.24
P10739|Challenge|Identify|169.99
P10740|Vote|A|336.72
P10741|Left|Watch|429.58
P10742|Around|Sort|168.25
P10743|Approach|Financial|348.37
P10744|Eye|Include|147.67
P10745|Can|International|472.87
P10746|Eight|Think|407.72
P10747|Product|With|277.3
P10748|A|Stage|230.14
P10749|Very|Individual|160.69
P10750|Seek|Per|165.02
P10751|Rather|Step|485.24
P10752|Send|Change|205.07
P10753|Recently|Machine|259.73
P10754|People|Loss|494.12
P10755|Here|Pay|330.54
P10756|Add|Nothing|273.58
P10757|Agree|Large|209.56
P10758|View|Play|97.85
P10759|Hard|Argue|184.08
P10760|With|After|379.44
P10761|Sign|Choice|314.58
P10762|Best|Population|381.2
P10763|Avoid|Democrat|105.76
P10764|Drop|Manager|276.86
P10765|Sometimes|Table|464.2
P10766|Back|Which|221.87
P10767|Hope|Sort|350.63
P10768|Born|Report|65.11
P10769|Run|Others|486.71
P10770|Performance|Practice|306.39
P10771|Gun|Role|123.45
P10772|Town|Human|83.4
P10773|If|Bill|277.67
P10774|Off|Let|278.36
P10775|Reduce|Will|51.14
P10776|For|Quality|496.17
P10777|Some|Top|456.9
P10778|Whether|War|233.42
P10779|Later|Character|63.15
P10780|Whole|Tend|416.91
P10781|Sit|Leg|251.7
P10782|Leader|Take|359.72
P10783|Record|System|256.89
P10784|Best|Add|140.35
P10785|Answer|Cultural|418.19
P10786|Education|Weight|490.22
P10787|Experience|Manage|125.65
P10788|Join|Sign|277.88
P10789|Role|Reality|194.88
P10790|Policy|Mr|461.32
P10791|Million|Care|256.58
P10792|Whose|Baby|440.27
P10793|Glass|Really|432.69
P10794|Off|Realize|141.74
P10795|Body|Better|396.05
P10796|Then|Set|210.4
P10797|Dream|Sure|467.45
P10798|International|Agency|256.33
P10799|Might|Wall|411.17
P10800|Middle|Before|145.01
P10801|Analysis|Return|152.79
P10802|Realize|Back|295.53
P10803|Discuss|Mouth|499.46
P10804|Trip|Degree|247.37
P10805|Available|Million|78.55
P10806|Until|Work|271.6
P10807|Voice|Bar|175.84
P10808|Too|Lead|278.2
P10809|Reduce|Worker|274.0
P10810|Establish|Sell|230.4
P10811|School|Style|164.28
P10812|Writer|Drive|98.38
P10813|Consumer|Matter|350.26
P10814|Store|Once|288.04
P10815|Street|Simple|120.61
P10816|Support|Space|388.89
P10817|Example|Must|26.61
P10818|Deep|Medical|373.63
P10819|These|Age|354.09
P10820|Check|Agency|406.65
P10821|President|Gun|196.11
P10822|Look|Join|333.53
P10823|Attorney|Everyone|411.27
P10824|Able|State|490.5
P10825|Professional|State|250.19
P10826|Color|Project|23.32
P10827|Trade|On|253.63
P10828|State|Baby|297.14
P10829|Everyone|Woman|435.5
P10830|Best|Or|437.72
P10831|Recently|Think|222.95
P10832|Stop|Trade|265.35
P10833|Success|Effect|231.18
P10834|Mr|Someone|362.61
P10835|Arm|Dog|207.94
P10836|Official|Speak|329.12
P10837|Best|Pressure|81.41
P10838|Production|Treatment|237.4
P10839|Deep|Black|484.76
P10840|Tell|Senior|172.59
P10841|Girl|Fear|347.89
P10842|Sell|Our|326.67
P10843|Image|Civil|426.62
P10844|Admit|Bill|426.91
P10845|System|Travel|430.37
P10846|Knowledge|Young|193.1
P10847|Nature|Major|161.75
P10848|Science|Yes|360.77
P10849|Feel|Receive|380.9
P10850|Color|Fish|436.83
P10851|Usually|Follow|22.77
P10852|Ten|Light|38.87
P10853|Catch|Enough|317.42
P10854|Star|Investment|460.86
P10855|Choose|Young|498.73
P10856|Study|Summer|374.65
P10857|Fund|Later|219.82
P10858|Second|Sure|53.73
P10859|Relate|Service|318.71
P10860|Career|Cold|436.93
P10861|Law|Protect|224.62
P10862|From|Executive|348.53
P10863|Film|Break|452.19
P10864|Black|Physical|27.77
P10865|Deep|Black|399.09
P10866|Whom|Need|150.22
P10867|Real|Peace|190.55
P10868|Remember|Before|77.06
P10869|Rise|Prove|267.93
P10870|Kind|Wall|285.13
P10871|Hour|Piece|397.3
P10872|Pay|Week|89.14
P10873|Prove|Recently|44.09
P10874|Meet|Fall|436.07
P10875|Check|Southern|311.76
P10876|Responsibility|Either|124.21
P10877|Form|Election|456.85
P10878|Seat|Claim|75.84
P10879|Law|Than|233.27
P10880|Leave|Garden|130.72
P10881|Step|Clear|131.39
P10882|Six|Red|9.65
P10883|Democrat|Three|403.29
P10884|According|Country|451.1
P10885|Standard|Fund|340.42
P10886|Ground|Real|83.2
P10887|Adult|Still|223.66
P10888|No|Education|176.05
P10889|With|Deep|295.85
P10890|Look|Finish|321.27
P10891|Attack|Modern|215.03
P10892|Approach|Air|128.8
P10893|Bar|Money|423.43
P10894|Now|Hair|103.61
P10895|International|Medical|195.42
P10896|Dog|Take|244.19
P10897|This|May|122.42
P10898|Newspaper|However|288.1
P10899|Wall|Anything|289.53
P10900|Something|North|496.38
P10901|Bar|Wonder|151.14
P10902|Wall|With|489.08
P10903|Information|Occur|330.82
P10904|Hope|Itself|140.87
P10905|Himself|Old|285.13
P10906|House|Eye|344.47
P10907|Bar|Begin|373.61
P10908|Feel|Star|29.28
P10909|Consider|Religious|305.17
P10910|Contain|Who|250.88
P10911|Like|Peace|452.56
P10912|Appear|Reach|146.67
P10913|His|Plan|400.44
P10914|Model|Work|305.5
P10915|You|Stage|179.4
P10916|Page|Threat|320.13
P10917|Radio|Collection|312.34
P10918|Understand|Safe|340.49
P10919|Six|Along|361.86
P10920|Especially|Health|331.29
P10921|World|Hot|419.98
P10922|Minute|Body|315.98
P10923|Early|Prove|452.18
P10924|Back|Line|324.94
P10925|Beyond|Mission|157.92
P10926|Son|Way|223.21
